Alumni_ID,First_Name,Last_Name,SLU_Email,Personal_Email,Degree,Major,Graduation_Year,Visa_Phase,City,State,Country,Current_Employer_ID,Current_Role,Current_Technologies,Employment_Type,Salary_USD,Job_Portal_Source,LinkedIn_URL,Zip_Code
1,Cameron,Barker,cameron.barker157@slu.edu,cameron.barker234@yahoo.com,BS,Finance,2016,Full-Time,Buffalo,NY,USA,983,Product Manager,"R, .NET",Intern,118191,LinkedIn,https://www.linkedin.com/in/cameronbarker316,41972
2,Peter,Cuevas,peter.cuevas11@slu.edu,peter.cuevas896@gmail.com,MS,Business Analytics,2020,Full-Time,Scottsdale,AZ,USA,299,Business Analyst,"Node.js, Tableau, .NET",Part-Time,80835,Referral,https://www.linkedin.com/in/petercuevas973,98726
3,Marcus,Hunt,marcus.hunt59@slu.edu,marcus.hunt468@yahoo.com,PhD,Business Analytics,2020,Full-Time,Clayton,MO,USA,172,Business Analyst,"JavaScript, Tableau",Full-Time,124259,LinkedIn,https://www.linkedin.com/in/marcushunt519,83345
4,Mark,Kelly,mark.kelly363@slu.edu,mark.kelly535@outlook.com,BS,Data Science,2018,Full-Time,Tucson,AZ,USA,229,DevOps Engineer,"AWS, C++",Full-Time,93606,LinkedIn,https://www.linkedin.com/in/markkelly474,85498
5,Teresa,Hensley,teresa.hensley843@slu.edu,teresa.hensley394@gmail.com,MS,Computer Science,2025,CPT,San Antonio,TX,USA,253,Product Manager,"Python, Kubernetes, .NET",Part-Time,69370,Referral,https://www.linkedin.com/in/teresahensley955,53362
6,Monica,Wolfe,monica.wolfe535@slu.edu,monica.wolfe843@outlook.com,BS,Software Engineering,2017,Full-Time,Buffalo,NY,USA,579,Product Manager,"Azure, Hadoop, .NET",Intern,109219,Campus Career Fair,https://www.linkedin.com/in/monicawolfe333,59058
7,Michele,Thomas,michele.thomas289@slu.edu,michele.thomas807@gmail.com,BA,Finance,2020,Full-Time,Boulder,CO,USA,855,Salesforce Developer,JavaScript,Intern,109543,Handshake,https://www.linkedin.com/in/michelethomas949,47928
8,Heather,Wall,heather.wall790@slu.edu,heather.wall716@gmail.com,MBA,Marketing,2019,Full-Time,Detroit,MI,USA,545,Data Engineer,"Hadoop, Python, Kubernetes",Contract,89237,Referral,https://www.linkedin.com/in/heatherwall486,75958
9,Anthony,Smith,anthony.smith385@slu.edu,anthony.smith71@outlook.com,BA,Business Analytics,2025,CPT,Rochester,NY,USA,923,Data Analyst,"Kubernetes, JavaScript, AWS",Full-Time,108399,Referral,https://www.linkedin.com/in/anthonysmith742,15280
10,Daniel,Adams,daniel.adams332@slu.edu,daniel.adams240@outlook.com,BA,Computer Science,2015,Full-Time,Grand Rapids,MI,USA,964,Data Analyst,"GCP, C++",Part-Time,104277,Company Site,https://www.linkedin.com/in/danieladams246,28224
11,Michael,Rice,michael.rice947@slu.edu,michael.rice58@gmail.com,PhD,Information Systems,2024,CPT,Columbus,OH,USA,445,DevOps Engineer,"Kubernetes, R",Full-Time,97947,Company Site,https://www.linkedin.com/in/michaelrice717,63187
12,Victoria,Camacho,victoria.camacho98@slu.edu,victoria.camacho646@yahoo.com,PhD,Finance,2024,OPT,Ann Arbor,MI,USA,514,Salesforce Developer,"Docker, Power BI, Tableau",Part-Time,91480,Campus Career Fair,https://www.linkedin.com/in/victoriacamacho643,62542
13,Stephen,Carr,stephen.carr332@slu.edu,stephen.carr935@outlook.com,PhD,Data Science,2021,Full-Time,Cleveland,OH,USA,516,Data Analyst,"SQL, Power BI",Contract,74115,Campus Career Fair,https://www.linkedin.com/in/stephencarr411,94231
14,Leslie,Fuentes,leslie.fuentes482@slu.edu,leslie.fuentes921@gmail.com,BS,Cybersecurity,2020,Full-Time,Boston,MA,USA,108,Salesforce Developer,"Tableau, React, SQL",Contract,107450,Referral,https://www.linkedin.com/in/lesliefuentes889,96996
15,Bryan,Berry,bryan.berry383@slu.edu,bryan.berry503@yahoo.com,MBA,Cybersecurity,2025,CPT,Buffalo,NY,USA,808,QA Engineer,C++,Part-Time,98515,LinkedIn,https://www.linkedin.com/in/bryanberry414,85802
16,Sydney,Collier,sydney.collier359@slu.edu,sydney.collier91@yahoo.com,PhD,Electrical Engineering,2015,Full-Time,Cincinnati,OH,USA,644,Software Engineer,"AWS, R",Part-Time,110782,Glassdoor,https://www.linkedin.com/in/sydneycollier896,32377
17,April,Morales,april.morales441@slu.edu,april.morales940@gmail.com,BA,Biostatistics,2025,CPT,Durham,NC,USA,343,QA Engineer,"Kubernetes, Hadoop",Intern,104420,Handshake,https://www.linkedin.com/in/aprilmorales415,51016
18,Jason,Mills,jason.mills451@slu.edu,jason.mills402@yahoo.com,PhD,Information Systems,2023,OPT,San Antonio,TX,USA,537,Security Analyst,AWS,Full-Time,83722,Handshake,https://www.linkedin.com/in/jasonmills325,71811
19,Paul,Garza,paul.garza594@slu.edu,paul.garza291@gmail.com,MS,Information Systems,2025,CPT,Worcester,MA,USA,407,Data Engineer,"GCP, Snowflake, Kubernetes",Full-Time,78861,Campus Career Fair,https://www.linkedin.com/in/paulgarza802,35763
20,John,Russell,john.russell49@slu.edu,john.russell483@gmail.com,MBA,Data Science,2018,Full-Time,Pittsburgh,PA,USA,293,Data Engineer,"R, Node.js",Intern,55365,Handshake,https://www.linkedin.com/in/johnrussell381,25483
21,Anthony,Williams,anthony.williams680@slu.edu,anthony.williams370@yahoo.com,BA,Computer Science,2016,Full-Time,Chicago,IL,USA,720,Product Manager,"Docker, JavaScript",Intern,126222,LinkedIn,https://www.linkedin.com/in/anthonywilliams353,42018
22,Shelby,Watkins,shelby.watkins665@slu.edu,shelby.watkins863@gmail.com,BA,Software Engineering,2024,OPT,Kansas City,MO,USA,154,Salesforce Developer,"R, Docker",Full-Time,62540,Handshake,https://www.linkedin.com/in/shelbywatkins450,60802
23,Timothy,Holloway,timothy.holloway45@slu.edu,timothy.holloway885@yahoo.com,MS,Information Systems,2015,Full-Time,Houston,TX,USA,993,Data Analyst,Docker,Full-Time,138086,Campus Career Fair,https://www.linkedin.com/in/timothyholloway222,33357
24,Mark,Carson,mark.carson265@slu.edu,mark.carson674@outlook.com,MBA,Electrical Engineering,2018,Full-Time,Boulder,CO,USA,986,Business Analyst,"React, Power BI, Azure",Full-Time,138933,LinkedIn,https://www.linkedin.com/in/markcarson754,26991
25,Brooke,Wheeler,brooke.wheeler108@slu.edu,brooke.wheeler150@outlook.com,BA,Cybersecurity,2024,CPT,Charlotte,NC,USA,475,Data Analyst,R,Full-Time,93197,Company Site,https://www.linkedin.com/in/brookewheeler759,79303
26,Lisa,Patel,lisa.patel439@slu.edu,lisa.patel839@gmail.com,BS,Information Systems,2023,STEM-OPT,Albany,NY,USA,559,Data Engineer,"GCP, Kubernetes",Contract,93523,LinkedIn,https://www.linkedin.com/in/lisapatel391,64089
27,Carlos,Patton,carlos.patton395@slu.edu,carlos.patton315@yahoo.com,BS,Software Engineering,2024,OPT,Rochester,NY,USA,826,Data Analyst,"Tableau, Spark",Intern,74287,Glassdoor,https://www.linkedin.com/in/carlospatton819,25102
28,Samuel,Coffey,samuel.coffey884@slu.edu,samuel.coffey443@yahoo.com,BS,Biostatistics,2020,Full-Time,Columbus,OH,USA,805,Product Manager,"JavaScript, Tableau, Power BI",Full-Time,77622,Campus Career Fair,https://www.linkedin.com/in/samuelcoffey653,95014
29,Kyle,Werner,kyle.werner850@slu.edu,kyle.werner762@yahoo.com,MBA,Business Analytics,2020,Full-Time,San Diego,CA,USA,638,Security Analyst,"Snowflake, Kubernetes, Hadoop",Full-Time,93111,Referral,https://www.linkedin.com/in/kylewerner398,62853
30,Lisa,Watkins,lisa.watkins200@slu.edu,lisa.watkins673@outlook.com,BS,Business Analytics,2016,Full-Time,Seattle,WA,USA,357,QA Engineer,"SQL, Spark, JavaScript",Contract,91905,Campus Career Fair,https://www.linkedin.com/in/lisawatkins757,94292
31,Wendy,Patterson,wendy.patterson307@slu.edu,wendy.patterson134@gmail.com,BA,Cybersecurity,2022,STEM-OPT,Cleveland,OH,USA,879,Business Analyst,GCP,Full-Time,95724,Indeed,https://www.linkedin.com/in/wendypatterson767,92905
32,Crystal,Gonzalez,crystal.gonzalez556@slu.edu,crystal.gonzalez235@yahoo.com,MBA,Business Analytics,2020,Full-Time,Atlanta,GA,USA,112,Data Engineer,".NET, Java, Node.js",Contract,99284,Handshake,https://www.linkedin.com/in/crystalgonzalez605,02524
33,Margaret,Gonzalez,margaret.gonzalez530@slu.edu,margaret.gonzalez925@gmail.com,BA,Biostatistics,2015,Full-Time,Los Angeles,CA,USA,207,SDET,GCP,Part-Time,63566,Campus Career Fair,https://www.linkedin.com/in/margaretgonzalez417,90016
